date,visits
2025-01-01,1749
2025-01-02,2901
2025-01-03,2464
2025-01-04,2197
2025-01-05,1312
2025-01-06,5715
2025-01-07,1116
2025-01-08,2732
2025-01-09,585
2025-01-10,2416
2025-01-11,1041
2025-01-12,2940
2025-01-13,4841
2025-01-15,1364
2025-01-16,1367
025-01-14,1425
22025-01-17,1608
2025-01-18,2050
2025-01-19,1864
2025-01-20,1582
2025-01-21,4630
2025-01-22,1279
2025-01-23,590
2025-01-24,1733
2025-01-25,1912
2025-01-26,2570
2025-01-27,1399
2025-01-28,2028
2025-01-29,2185
2025-01-30,1093
