date,visits
2025-01-01,2436
2025-01-02,1479
2025-01-03,1086
2025-01-04,5994
2025-01-05,1736
2025-01-06,1132
2025-01-07,1841
2025-01-08,965
2025-01-09,2628
2025-01-10,1392
2025-01-11,5110
2025-01-12,1492
2025-01-13,1888
2025-01-14,1939
2025-01-15,1251
2025-01-16,497
2025-01-17,2373
2025-01-18,2685
2025-01-19,6565
2025-01-20,2036
2025-01-21,2652
2025-01-22,1068
2025-01-23,1272
2025-01-24,986
2025-01-25,443
2025-01-26,1638
2025-01-27,4964
2025-01-28,2475
2025-01-29,1578
2025-01-30,1434
